bmu_y,bmu_x,P_sidelobe
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,1
2,0,0
2,1,1
2,2,0
2,3,1
2,4,2
2,5,0
2,6,0
2,7,0
2,8,0
2,9,7
3,0,0
3,1,0
3,2,10
3,3,5
3,4,2
3,5,0
3,6,0
3,7,0
3,8,0
3,9,5
4,0,0
4,1,0
4,2,31
4,3,2
4,4,3
4,5,1
4,6,0
4,7,0
4,8,1
4,9,7
5,0,0
5,1,7
5,2,55
5,3,4
5,4,4
5,5,3
5,6,5
5,7,70
5,8,95
5,9,22
6,0,0
6,1,10
6,2,69
6,3,6
6,4,2
6,5,10
6,6,16
6,7,90
6,8,99
6,9,99
7,0,0
7,1,6
7,2,58
7,3,8
7,4,2
7,5,25
7,6,20
7,7,98
7,8,99
7,9,99
8,0,0
8,1,6
8,2,13
8,3,17
8,4,30
8,5,22
8,6,18.75
8,7,80
8,8,100
8,9,100
9,0,0
9,1,1
9,2,7
9,3,15
9,4,19
9,5,17
9,6,8
9,7,10
9,8,95
9,9,100
